threshold,accuracy,macro_f1,hall_precision,hall_recall,hall_f1,accurate_precision,accurate_recall,accurate_f1,contr_precision,contr_recall,contr_f1
0.5,0.6723,0.605,0.0894,0.0695,0.0782,0.7112,0.764,0.7367,1.0,1.0,1.0
0.55,0.7784,0.7751,0.4587,0.6,0.5199,0.8514,0.764,0.8053,1.0,1.0,1.0
0.6,0.7918,0.7922,0.4851,0.667,0.5617,0.8731,0.764,0.8149,1.0,1.0,1.0
0.65,0.8214,0.8277,0.5351,0.815,0.6461,0.9253,0.764,0.837,1.0,1.0,1.0
0.7,0.8584,0.8683,0.5855,1.0,0.7386,1.0,0.764,0.8662,1.0,1.0,1.0
0.75,0.8584,0.8683,0.5855,1.0,0.7386,1.0,0.764,0.8662,1.0,1.0,1.0
0.8,0.8584,0.8683,0.5855,1.0,0.7386,1.0,0.764,0.8662,1.0,1.0,1.0
0.85,0.8584,0.8683,0.5855,1.0,0.7386,1.0,0.764,0.8662,1.0,1.0,1.0
0.9,0.8577,0.8673,0.5843,1.0,0.7376,1.0,0.764,0.8662,1.0,0.9965,0.9982
