threshold,accuracy,macro_f1,hall_precision,hall_recall,hall_f1,accurate_precision,accurate_recall,accurate_f1,contr_precision,contr_recall,contr_f1
0.5,0.8,0.619,0.0,0.0,0.0,0.75,1.0,0.8571,1.0,1.0,1.0
0.6,0.805,0.6363,1.0,0.025,0.0488,0.7547,1.0,0.8602,1.0,1.0,1.0
0.7,0.957,0.9275,0.823,1.0,0.9029,1.0,1.0,1.0,1.0,0.785,0.8796
0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
